THRUST
; HyperTek L540O
; converted from TMT test stand data 2001 (www.tripoli.org)
; provided by ThrustCurve.org (www.thrustcurve.org)
; total weight: 5656g, propellant weight: 2530g
0.00	0.00
0.02	585.16
0.07	737.02
0.12	748.29
0.17	726.17
0.22	689.81
0.27	659.76
0.32	655.86
0.37	677.53
0.42	671.04
0.47	673.00
0.52	658.46
0.57	668.70
0.62	665.93
0.67	664.30
0.72	653.30
0.77	641.91
0.82	637.74
0.87	632.20
0.92	650.64
0.97	660.63
1.02	616.30
1.07	625.04
1.12	627.55
1.17	627.29
1.22	630.32
1.27	626.12
1.32	618.49
1.37	643.42
1.42	631.04
1.47	661.43
1.52	659.74
1.57	641.84
1.62	662.17
1.67	640.08
1.72	634.49
1.77	675.74
1.82	666.92
1.87	648.82
1.92	705.17
1.97	629.05
2.02	613.80
2.07	745.21
2.12	709.33
2.17	752.96
2.22	748.63
2.27	733.69
2.32	648.25
2.37	736.34
2.42	724.96
2.47	722.82
2.52	674.96
2.57	712.97
2.62	657.27
2.67	697.09
2.72	737.19
2.77	789.53
2.82	785.41
2.87	790.73
2.92	787.61
2.97	785.37
3.02	781.46
3.07	797.46
3.12	797.20
3.17	808.30
3.22	724.41
3.27	667.54
3.32	813.79
3.37	812.01
3.42	788.63
3.47	777.74
3.52	802.37
3.57	803.79
3.62	760.39
3.67	722.21
3.72	798.19
3.77	805.05
3.82	794.47
3.87	803.06
3.92	788.76
3.97	753.85
4.02	687.60
4.07	655.31
4.12	640.70
4.17	675.74
4.22	620.74
4.27	712.13
4.32	775.64
4.37	766.63
4.42	711.91
4.47	730.90
4.52	627.89
4.57	609.05
4.62	640.05
4.67	724.28
4.72	757.87
4.77	705.83
4.82	711.72
4.87	727.36
4.92	616.00
4.97	702.92
5.02	632.29
5.07	709.30
5.12	670.88
5.17	575.21
5.22	675.99
5.27	637.02
5.32	651.22
5.37	558.24
5.42	549.05
5.47	635.33
5.52	592.53
5.57	618.32
5.62	663.52
5.67	568.41
5.72	664.51
5.77	593.61
5.82	542.32
5.87	553.18
5.92	535.76
5.97	574.86
6.02	502.36
6.07	518.02
6.12	557.71
6.17	575.18
6.22	487.75
6.27	430.89
6.32	385.36
6.37	326.63
6.42	289.14
6.47	273.30
6.52	264.36
6.57	256.01
6.62	248.24
6.67	240.85
6.72	233.66
6.77	225.74
6.82	218.90
6.87	211.29
6.92	205.25
6.97	197.84
7.02	191.15
7.07	184.12
7.12	177.41
7.17	171.33
7.22	166.11
7.27	160.21
7.32	154.92
7.37	150.34
7.42	145.07
7.47	139.87
7.52	135.19
7.57	131.03
7.62	126.24
7.67	122.15
7.72	118.10
7.77	113.53
7.82	109.90
7.87	105.33
7.92	101.69
7.97	98.20
8.02	94.22
8.07	90.65
8.12	86.76
8.17	83.75
8.22	80.25
8.27	77.07
8.32	73.51
8.37	70.24
8.42	67.25
8.47	64.26
8.52	61.55
8.57	58.42
8.62	55.42
8.67	52.78
8.72	49.83
8.77	47.07
8.82	45.13
8.87	42.89
8.92	40.38
8.97	38.52
9.02	36.23
9.07	34.30
9.12	32.27
9.17	29.70
9.22	26.98
9.27	25.36
9.32	23.48
9.37	21.72
9.42	18.89
9.47	17.64
9.52	16.54
9.57	14.44
